Crash Number,Date and Time of Crash,Police Shift,Crash Location,Light Conditions,Weather Conditions,Road Surface,Road Contributing Circumstances,Traffic Control Device Type,Roadway Intersection Type,Trafficway Description,Manner of Collision,First Harmful Event,First Harmful Event Location,Speed Limit,Work Zone,Count Fatal Injury ,Count Suspected Serious Injury,Count Suspected Minor Injury ,Count Possible Injury,Count No Apparent Injury,Count Unknown Injury,Count Not Reported Injury,Total Non-Motorists,Pedestrian Involvement (Non-Motorist),Cyclist Involvement (Non-Motorist),Other Non-Motorist Involvement,Non-Motorist Location ,Non-Motorist Action,Non-Motorist Condition,Hit and Run Flag,Latitude,Longitude,Ward,Block Code 
19034027,2019-06-17 13:47:00,Day Shift (8AM - 4PM),"67 TEMPLE ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,25 ,N,0,1,0,0,6,0,0,1,1,0,0,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3948,-71.0915,4,250173501091011
20028597,2020-06-05 18:09:00,First Half (4PM - Midnight),"34 DERBY ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,20 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3937,-71.09,4,250173501091011
23016998,2023-04-01 05:26:00,Last Half (Midnight - 8AM),"69 TEMPLE STREET Somerville, MA",DAWN                                              ,RAIN                                              ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.395,-71.0915,4,250173501091011
23065830,2023-11-13 14:14:00,Day Shift (8AM - 4PM),"34 GRANT ST Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,1,3,0,0,0,0,0,0,,,,N,42.3928,-71.0905,4,250173501091012
21051309,2021-09-29 10:01:00,Day Shift (8AM - 4PM),"48 JAQUES ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,20 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3938,-71.0916,4,250173501091012
21060318,2021-11-17 19:29:00,First Half (4PM - Midnight),"35 TEMPLE ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3937,-71.0923,4,250173501091012
22056524,2022-10-03 17:47:00,First Half (4PM - Midnight),"24 GRANT ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"ONE-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,20 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3926,-71.0908,4,250173501091012
21044660,2021-08-27 09:46:00,Day Shift (8AM - 4PM),"25 SEWALL ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3932,-71.0915,4,250173501091012
18046857,2018-08-07 12:49:00,Day Shift (8AM - 4PM),"313 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",SINGLE VEHICLE CRASH                              ,COLLISION WITH LIGHT POLE OR OTHER POST/SUPPORT   ,ROADWAY                                           ,,,0,0,0,0,1,0,0,0,0,0,0,,,,N,42.3927,-71.093,4,250173501091013
18046930,2018-08-07 21:40:00,First Half (4PM - Midnight),"299 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,ROADWAY                                           ,30 ,N,0,0,0,1,0,0,0,1,0,1,0,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,Y,42.3923,-71.0919,4,250173501091013
23012176,2023-03-08 17:29:00,First Half (4PM - Midnight),"9 TEMPLE ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3928,-71.0929,4,250173501091013
19044370,2019-08-03 23:08:00,First Half (4PM - Midnight),"313 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,OTHER                                             ,OUTSIDE ROADWAY                                   ,15 ,N,0,0,1,0,0,0,0,0,0,0,0,,,,N,42.3927,-71.093,4,250173501091013
23008411,2023-02-15 10:32:00,Day Shift (8AM - 4PM),"299 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,DRIVEWAY                                          ,"TWO-WAY, NOT DIVIDED                              ",REAR TO REAR                                      ,COLLISION WITH PARKED MOTOR VEHICLE               ,OUTSIDE ROADWAY                                   ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3923,-71.0919,4,250173501091013
19042490,2019-07-26 16:51:00,First Half (4PM - Midnight),"9 TEMPLE ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,1,1,0,0,0,0,0,,,,N,42.3928,-71.0929,4,250173501091013
22055318,2022-09-28 12:27:00,Day Shift (8AM - 4PM),"299 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3923,-71.0919,4,250173501091013
19066375,2019-11-20 19:41:00,First Half (4PM - Midnight),"281 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.392,-71.0916,4,250173501091013
23018623,2023-04-08 10:09:00,Day Shift (8AM - 4PM),"9 TEMPLE ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,20 ,N,0,0,1,0,4,0,0,1,1,0,0,NOT IN ROADWAY                                    ,"WALKING, RUNNING OR CYCLING                       ",PHYSICAL IMPAIRMENT                               ,N,42.3928,-71.0929,4,250173501091013
24000153,2024-01-02 01:30:00,Last Half (Midnight - 8AM),"299 BROADWAY Somerville, MA",DARK - ROADWAY NOT LIGHTED                        ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,UNKNOWN                                           ,SINGLE VEHICLE CRASH                              ,COLLISION WITH LIGHT POLE OR OTHER POST/SUPPORT   ,UNKNOWN                                           ,10 ,N,0,0,0,0,1,0,0,0,0,0,0,,,,N,42.3923,-71.0919,4,250173501091013
22031690,2022-06-06 16:39:00,First Half (4PM - Midnight),"MCGRATH HWY & NA Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,25 ,N,0,0,1,0,1,0,0,1,1,0,0,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3929,-71.0857,4,250173501091014
22004892,2022-01-31 16:07:00,First Half (4PM - Midnight),"UNK MCGRATH HYWY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,ICE                                               ,OBSTRUCTION IN ROADWAY                            ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",SINGLE VEHICLE CRASH                              ,OTHER                                             ,ROADWAY                                           ,40 ,N,0,0,0,1,0,0,0,0,0,0,0,,,,N,42.3929,-71.0857,4,250173501091014
21034588,2021-07-07 14:30:00,Day Shift (8AM - 4PM),"MCGRATH HWY & MIDDLESEX AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,1,0,1,0,0,0,0,0,0,,,,N,42.3929,-71.0857,4,250173501091014
24019531,2024-04-08 18:17:00,First Half (4PM - Midnight),"MCGRATH HWY & NA Somerville, MA",DUSK                                              ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ","SIDESWIPE, OPPOSITE DIRECTION                     ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,1,0,2,0,0,0,0,0,0,,,,N,42.3929,-71.0857,4,250173501091014
21013104,2021-03-13 21:56:00,First Half (4PM - Midnight),"FELLSWAY & MYSTIC AVE Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,6,0,0,0,0,0,0,,,,N,42.3929,-71.0857,4,250173501091014
18069998,2018-11-27 00:02:00,Last Half (Midnight - 8AM),"BROADWAY & MCGRATH HWY Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,TRAFFIC CONTROL DEVICE                            ,FLASHING TRAFIC CONTROL SIGNAL                    ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",HEAD ON                                           ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,35 ,N,0,0,1,0,2,0,0,0,0,0,0,,,,N,42.3898,-71.0882,1,250173501091016
19043627,2019-07-31 20:48:00,First Half (4PM - Midnight),"BROADWAY & MCGRATH HWY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",UNKNOWN                                           ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,30 ,N,0,0,0,0,2,0,0,1,1,0,0,IN ROADWAY                                        ,OTHER                                             ,OTHER                                             ,N,42.3898,-71.0882,1,250173501091016
18050269,2018-08-23 11:42:00,Day Shift (8AM - 4PM),"BROADWAY & MCGRATH HWY Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3898,-71.0882,1,250173501091016
20052720,2020-10-30 15:36:00,Day Shift (8AM - 4PM),"BROADWAY & MCGRATH HWY Somerville, MA",OTHER                                             ,SNOW                                              ,WET                                               ,UNKNOWN                                           ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,5,0,0,0,0,0,0,,,,N,42.3898,-71.0882,1,250173501091016
23032528,2023-06-11 16:49:00,First Half (4PM - Midnight),"BROADWAY & MCGRATH HWY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,25 ,N,0,0,1,0,3,0,0,1,1,0,0,MARKED CROSSWALK AT INTERSECTION                  ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3898,-71.0882,1,250173501091016
23018863,2023-04-09 17:47:00,First Half (4PM - Midnight),"BROADWAY & MCGRATH HWY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3898,-71.0882,1,250173501091016
18065912,2018-11-06 01:36:00,Last Half (Midnight - 8AM),"BROADWAY & MCGRATH HWY Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,ROAD SURFACE CONDITION                            ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,35 ,N,0,1,0,0,2,0,0,0,0,0,0,,,,N,42.3898,-71.0882,1,250173501091016
18053557,2018-09-07 17:55:00,First Half (4PM - Midnight),"BROADWAY & FELLSWAY W Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,TRAFFIC CONGESTION RELATED                        ,TRAFFIC CONTROL SIGNAL                            ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,20 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3908,-71.0902,1,250173501091017
18065534,2018-11-04 01:33:00,Last Half (Midnight - 8AM),"FELLSWAY W & JAQUES ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,20 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,Y,42.3919,-71.0888,1,250173501091017
23052979,2023-09-15 09:58:00,Day Shift (8AM - 4PM),"BROADWAY & FELLSWAY W Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,FLASHING TRAFIC CONTROL SIGNAL                    ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,25 ,N,0,0,1,0,1,0,0,1,1,0,0,AT INTERSECTION BUT NO CROSSWALK                  ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3908,-71.0902,1,250173501091017
19069126,2019-12-05 21:08:00,First Half (4PM - Midnight),"704 MCGRATH HWY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,1,1,0,0,0,0,0,0,,,,N,42.39,-71.0882,1,250173501091017
19038007,2019-07-05 16:12:00,First Half (4PM - Midnight),"BROADWAY & FELLSWAY W Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3908,-71.0902,1,250173501091017
19054088,2019-09-20 09:00:00,Day Shift (8AM - 4PM),"BROADWAY & FELLSWAY W Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,FLASHING TRAFIC CONTROL SIGNAL                    ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,20 ,N,0,0,2,0,0,0,0,0,0,0,0,,,,N,42.3908,-71.0902,1,250173501091017
22002708,2022-01-18 14:20:00,Day Shift (8AM - 4PM),"BROADWAY & FELLSWAY W Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3908,-71.0902,1,250173501091017
23059878,2023-10-16 17:13:00,First Half (4PM - Midnight),"62 FELLSWAY WEST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH TREE                               ,ROADWAY                                           ,20 ,N,0,0,0,0,1,0,0,0,0,0,0,,,,N,42.3927,-71.0881,4,250173501091018
23046168,2023-08-15 08:15:00,Day Shift (8AM - 4PM),"DERBY ST & WHEATLAND ST Somerville, MA",DAYLIGHT                                          ,RAIN                                              ,WET                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3929,-71.0887,4,250173501091018
23003049,2023-01-18 18:22:00,First Half (4PM - Midnight),"362 MYSTIC AV Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,FLASHING TRAFIC CONTROL SIGNAL                    ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,OUTSIDE ROADWAY                                   ,25 ,N,0,0,0,0,5,0,0,0,0,0,0,,,,N,42.3942,-71.0876,4,250173501091019
23045557,2023-08-12 05:02:00,Last Half (Midnight - 8AM),"88 WHEATLAND ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,1,0,0,0,0,0,0,,,,N,42.3937,-71.0881,4,250173501091019
19048321,2019-08-23 20:09:00,First Half (4PM - Midnight),"374 MYSTIC AV Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,35 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3942,-71.0876,4,250173501091019
21061389,2021-11-24 13:24:00,Day Shift (8AM - 4PM),"68 WHEATLAND ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH CURB                               ,OUTSIDE ROADWAY                                   ,25 ,N,0,0,0,1,1,0,0,0,0,0,0,,,,N,42.3931,-71.0887,4,250173501091019
19058650,2019-10-12 15:29:00,Day Shift (8AM - 4PM),"77 GRANT ST Somerville, MA",DAYLIGHT                                          ,RAIN                                              ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",UNKNOWN                                           ,COLLISION WITH PARKED MOTOR VEHICLE               ,UNKNOWN                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3936,-71.0887,4,250173501091019
23006003,2023-02-03 20:01:00,First Half (4PM - Midnight),"78 WHEATLAND ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3934,-71.0884,4,250173501091019
21014159,2021-03-19 22:37:00,First Half (4PM - Midnight),"JAQUES ST & WHEATLAND ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,FOUR WAY INTERSECTION                             ,"ONE-WAY, NOT DIVIDED                              ",HEAD ON                                           ,COLLISION WITH UTILITY POLE                       ,ROADWAY                                           ,25 ,N,0,0,0,1,2,0,0,0,0,0,0,,,,N,42.3924,-71.0894,4,250173501091020
19063201,2019-11-04 07:01:00,Last Half (Midnight - 8AM),"JAQUES ST & WHEATLAND ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,FOUR WAY INTERSECTION                             ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,20 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3924,-71.0894,4,250173501091020
20003211,2020-01-19 00:17:00,Last Half (Midnight - 8AM),"10 DERBY ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,SNOW                                              ,SNOW                                              ,ROAD SURFACE CONDITION                            ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3931,-71.0891,4,250173501091020
22007918,2022-02-16 13:27:00,Day Shift (8AM - 4PM),"GRANT ST & JAQUES ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,FOUR WAY INTERSECTION                             ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,OTHER                                             ,ROADWAY                                           ,25 ,N,0,0,0,1,2,0,0,1,0,0,1,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3929,-71.09,4,250173501091020
23043236,2023-07-31 19:46:00,First Half (4PM - Midnight),"21 GRANT ST Somerville, MA",DAWN                                              ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"ONE-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3922,-71.0906,4,250173501091021
19067718,2019-11-27 15:34:00,Day Shift (8AM - 4PM),"15 GRANT ST Somerville, MA",DUSK                                              ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,25 ,N,0,0,1,1,2,0,0,0,0,0,0,,,,N,42.3921,-71.0908,4,250173501091021
